model,quantization,steps,guidance,strength,detector,sample_count,fake_rate,avg_confidence_on_fake_predictions,avg_confidence_overall,avg_elapsed_time
sd35,fp16,50,3.5,0.6,NPR,2.0,0.5,0.9981181621551514,0.49905908374723396,0.09156918525695795
sd35,fp16,50,3.5,0.6,R50_TF,2.0,0.0,,0.401,0.16899999999999998
sd35,fp16,50,5.0,0.3,CLIP-D,2.0,0.5,0.8130120635032654,0.4089086779858917,0.06131780147552485
sd35,fp16,50,5.0,0.3,NPR,2.0,0.5,0.9999902248382568,0.4999951124191904,0.0901933908462524
sd35,fp16,50,5.0,0.3,R50_TF,2.0,0.0,,0.402,0.17099999999999999
sd35,fp16,50,5.0,0.45,CLIP-D,2.0,0.5,0.9161545634269714,0.46347245061770076,0.06158864498138425
sd35,fp16,50,5.0,0.45,NPR,2.0,0.5,0.8826940655708313,0.44134703283716586,0.097286581993103
sd35,fp16,50,5.0,0.45,R50_TF,2.0,0.0,,0.39405,0.16799999999999998
sd35,fp16,50,5.0,0.6,CLIP-D,2.0,1.0,0.796218603849411,0.796218603849411,0.0620883703231811
sd35,fp16,50,5.0,0.6,NPR,2.0,0.5,0.9975631237030028,0.4987816452490463,0.09301054477691645
sd35,fp16,50,5.0,0.6,R50_TF,2.0,0.0,,0.40635,0.17049999999999998
